Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Plot  Area,Ready To Move,Yelahanka,3 BHK,Edreelm,1550,3,1,120,7742
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3,3,56,4590
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Jants V,1900,3,3,160,8421
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,,1360,3,3,55,4044
Built-up  Area,Ready To Move,Vyalikaval,2 BHK,,1100,2,1,75,6818
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455,3,2,73.31,5038
Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035,2,1,40.5,3913
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1152,2,2,69,5990
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1299,2,2,82,6313
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Sovar S,1050,2,2,52.5,5000
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1050,2,2,40,3810
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2,1,67.4,5409
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1929,3,2,115,5962
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1285,2,1,60,4669
Plot  Area,Ready To Move,Margondanahalli,3 BHK,,1200,2,0,65,5417
Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,,3161,4,3,214,6770
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1850,3,,170,9189
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025,2,0,37,3610
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124,3,2,80,7117
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2,1,54.59,5394
Super built-up  Area,Ready To Move,Giri Nagar,7 BHK,Bancyri,4500,5,3,250,5556
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,i1rtsCo,871,2,2,55,6315
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,Mae 2ow,1020,2,2,40,3922
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3,3,73.5,4742
Plot  Area,Ready To Move,Anand Nagar,3 BHK,,3515,3,1,420,11949
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2,2,80,5674
Plot  Area,18-Dec,Chikka Tirupathi,4 BHK,Theanmp,3500,5,3,150,4286
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1118,2,1,75,6708
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2,1,68,6193
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1130,2,1,45.2,4000
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Trurea ,1145,2,2,75,6550
Plot  Area,Ready To Move,Kadugodi,3 BHK,,950,3,1,80,8421
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,GSnts A,1051,2,1,33,3140
Plot  Area,Ready To Move,Thavarekere,7 BHK,,600,7,,108,18000
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1102,2,2,53.67,4870
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2,2,125,8457
Carpet  Area,18-Dec,Hebbal,2 BHK,Arcia S,823,2,1,50.63,6152
Super built-up  Area,21-Dec,Abbigere,2 BHK,,880,2,1,35,3977
Built-up  Area,Ready To Move,KR Puram,4 BHK,,600,5,2,75,12500
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,100,5023
Built-up  Area,Ready To Move,TC Palaya,3 BHK,,1100,3,1,50,4545
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3,2,115,6590
Built-up  Area,17-Sep,HAL 2nd Stage,2 BHK,,1226,3,1,135,11011
Plot  Area,Ready To Move,Begur Road,3 BHK,,680,4,1,68,10000
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,,1100,2,1,70,6364
Plot  Area,Ready To Move,Banashankari Stage VI,4 BHK,,1200,4,3,195,16250
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Sorta S,1450,2,1,58,4000
Super built-up  Area,Ready To Move,Singasandra,4 BHK,,3366,4,,120,3565
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1150,2,1,54,4696
Plot  Area,Ready To Move,Banashankari Stage VI,4 BHK,,2200,4,2,195,8864
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1090,3,2,44,4037
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Binorn ,1132,2,2,42,3710
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1375,2,2,80,5818
Plot  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,1500,5,3,220,14667
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,760,1,2,50.3,6618
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1180,2,2,65,5508
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,45,4902
Plot  Area,Ready To Move,Rachenahalli,5 BHK,,600,5,,50,8333
Built-up  Area,Ready To Move,Margondanahalli,2 BHK,,1200,1,0,53,4417
Plot  Area,Ready To Move,1st Block HRBR Layout,7 BHK,,2400,7,3,355,14792
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1728,3,2,95,5498
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3,1,275,12415
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Crentt ,1200,2,2,80,6667
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,Vador S,1280,2,,56,4375
Plot  Area,Ready To Move,Hulimavu,4 BHK,,800,4,,110,13750
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1455,2,2,56,3849
Super built-up  Area,20-Aug, Rachenahalli,1 RK,AsNowre,440,1,0,28,6364
Plot  Area,Ready To Move,Kanakpura Road,3 BHK,Nathira,1500,3,2,97,6467
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1800,3,,110,6111
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1525,3,2,96,6295
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1204,2,3,38.5,3198
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1225,2,1,53.55,4371
Built-up  Area,Ready To Move,Kalyan nagar,6 BHK,,800,6,3,98,12250
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1650,3,,122,7394
Built-up  Area,Ready To Move,Electronic City,3 BHK,Itelaa ,880,2,1,18,2045
Built-up  Area,Ready To Move,Bikasipura,4 BHK,,4200,4,2,255,6071
Plot  Area,Ready To Move,Tippenahalli,2 BHK,,1200,2,0,55,4583
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,,1152,4,1,230,19965
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,42,4179
Super built-up  Area,20-Dec,Whitefield,3 BHK,Oreldhi,1562,3,2,103,6594
Built-up  Area,Ready To Move,Devanahalli,4 BHK,Soyleif,5000,5,2,395,7900
Plot  Area,Ready To Move,Babusapalaya,6 BHK,,810,5,2,95,11728
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,,1200,2,3,42,3500
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1555,3,2,82.5,5305
Plot  Area,Ready To Move,KR Puram,2 BHK,,1550,2,1,71,4581
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BainePr,1190,2,2,67,5630
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,KsonsCa,1070,2,2,50,4673
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1020,2,1,42.48,4165
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1610,3,1,115,7143
Super built-up  Area,Ready To Move,Prestige Sunrise,1 BHK,,700,1,1,41,5857
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1300,2,1,49,3769
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2,1,123,8662
Plot  Area,Ready To Move,Vidyaranyapura,9 BHK,,1200,9,2,100,8333
Carpet  Area,18-Dec,Hebbal,3 BHK,Arcia S,1069,3,2,65.4,6118
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1900,3,3,123,6474
Super built-up  Area,18-May,Old Airport Road,2 BHK,Jaades ,1655,2,1,97.65,5900
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2,2,40.42,3500
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Esatea ,1300,2,2,70,5385
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Amhidte,1100,2,2,45,4091
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Arensh ,1030,2,2,42,4078
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,2105,2,1,70.2,3335
Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1700,3,2,126,7412
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760,3,2,139,7898
Built-up  Area,Ready To Move,Kadugodi,9 BHK,,6200,9,0,200,3226
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,1400,2,1,67,4786
Super built-up  Area,Ready To Move,Srigandada Kaval,2 BHK,,1200,2,0,53,4417
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Haaceal,912,2,1,55,6031
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1102,2,1,48,4356
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,3,1,55,3583
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2,2,46,3701
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,63.2,6885
Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1500,2,3,70,4667
Plot  Area,Ready To Move,Mathikere Extension,3 BHK,,3000,3,0,250,8333
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1476,3,0,89,6030
Super built-up  Area,18-Apr,Mysore Road,2 BHK,,1200,2,3,65,5417
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saityat,606,1,0,34.78,5739
Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,,1100,2,3,61,5545
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1295,2,1,59.5,4595
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,AdingSV,527,1,0,26,4934
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Drerspe,1300,2,2,80,6154
Plot  Area,Ready To Move,Bommanahalli,3 BHK,,680,4,1,68,10000
Plot  Area,Ready To Move,Adityanagar,1 BHK,,1260,1,0,41,3254
Built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1140,2,1,75.2,6596
Plot  Area,Ready To Move,BDS Layout,1 BHK,,1500,1,0,37.5,2500
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4,1,128,5515
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1390,2,2,62,4460
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1725,3,3,90,5217
Super built-up  Area,18-May,Hebbal,4 BHK,SNontle,3067,4,1,310,10108
Super built-up  Area,18-Mar,Hennur Road,3 BHK,Koagati,1186,2,1,63,5312
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1230,2,1,85,6911
Built-up  Area,Ready To Move, Mysore Highway,1 BHK,,600,1,1,17,2833
Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,,1313,3,1,96,7312
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,,1250,2,2,66.25,5300
Plot  Area,Ready To Move,HBR Layout,9 BHK,,1200,6,3,280,23333
Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1,1,54,8182
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,Tinori ,1036,2,2,105,10135
Built-up  Area,Ready To Move,Koramangala,4 BHK,,2700,4,3,450,16667
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100,2,1,70,6364
Plot  Area,Ready To Move,BTM 2nd Stage,4 BHK,,1500,2,1,450,30000
Plot  Area,Ready To Move,Singasandra,4 BHK,,525,5,2,56,10667
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015,2,1,56,5517
Plot  Area,Ready To Move,Gottigere,1 BHK,,812,1,0,26,3202
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,,1360,2,2,65,4779
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,2167,3,3,170,7845
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1200,2,1,35,2917
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165,2,2,75,6438
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274,2,2,70,5495
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2,2,39.02,3390
Plot  Area,Ready To Move,Vidyaranyapura,6 BHK,,1060,6,3,110,10377
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1626,2,2,120,7380
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,,1035,2,2,35.77,3456
Plot  Area,Ready To Move,Shanthi Layout,3 BHK,,1272,4,0,75,5896
Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,,965,2,1,45,4663
Plot  Area,Ready To Move,Esther Enclave Layout,5 BHK,,1600,5,2,140,8750
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1070,2,1,42.79,3999
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Spensas,1570,2,2,65,4140
Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,NianaKe,780,2,2,25,3205
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,,1000,2,1,65,6500
Plot  Area,Ready To Move,9th Phase JP Nagar,4 BHK,,1200,3,2,188,15667
Built-up  Area,Ready To Move,Tindlu,7 BHK,,7500,7,2,400,5333
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1700,2,3,100,5882
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,RBersll,1850,3,,110,5946
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,DSdorSp,904,2,1,30,3319
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1121,2,1,43.72,3900
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385,2,2,58.17,4200
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2,1,69.85,5500
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,56,3862
Plot  Area,Ready To Move,Huttanahalli,3 BHK,,2400,4,2,325,13542
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,,730,1,1,35,4795
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,3,3,53.56,3390
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111,2,1,50,4500
Plot  Area,Ready To Move,Kengeri,4 BHK,,1125,2,1,88,7822
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maine J,977,2,2,36,3685
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,674,1,1,19.9,2953
Plot  Area,18-Apr,Nagarbhavi,3 BHK,,600,3,1,83,13833
Plot  Area,Ready To Move,Sarjapur,4 BHK,Puodsm ,2540,4,1,115,4528
Super built-up  Area,17-Dec,Jakkur,2 BHK,BrdgeNo,1290,2,1,100,7752
Plot  Area,Ready To Move,Kumaraswami Layout,3 BHK,,600,3,1,98,16333
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2,1,32.54,4093
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700,1,1,35,5000
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1463,1,1,142,9706
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1000,3,0,140,14000
Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,,1306,2,2,58,4441
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2401,3,2,185,7705
Plot  Area,Ready To Move,Bommenahalli,4 BHK,Prana S,1670,3,0,135,8084
Built-up  Area,Ready To Move,Jayanagar,3 BHK,Rathira,1875,2,3,235,12533
Plot  Area,Ready To Move,Marsur,3 BHK,AreraRe,1200,3,1,90,7500
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1804,3,2,121,6707
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4,1,210,10169
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225,3,1,40,3265
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,900,2,2,56,6222
Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1350,2,1,91,6741
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1,0,36,5143
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,1160,2,1,46.39,3999
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1680,3,,99.27,5909
Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,CharkR ,1043,2,2,55,5273
Plot  Area,Ready To Move,Hoskote,4 BHK,,1200,4,1,120,10000
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,1040,2,2,46,4423
Super built-up  Area,Ready To Move,Tindlu,3 BHK,Shmolti,1357,2,2,65,4790
Plot  Area,Ready To Move,Nayandanahalli,7 BHK,,1600,7,1,104,6500
Super built-up  Area,18-Aug,Vibhutipura Extension,2 BHK,,1225,2,2,47,3837
Plot  Area,Ready To Move,Sunkadakatte,9 BHK,,1500,6,1,80,5333
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,,1130,2,2,40,3540
Built-up  Area,Ready To Move,Basavangudi,4 BHK,,2500,4,1,150,6000
Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,,1700,3,3,120,7059
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1549,3,2,65,4196
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Goandn ,1400,2,2,100,7143
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,MavarSa,1080,2,2,50,4630
Built-up  Area,Ready To Move,Ulsoor,2 BHK,Rilor C,1180,2,2,100,8475
Plot  Area,Ready To Move,Chandra Layout,7 BHK,,780,7,3,150,19231
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1800,3,2,150,8333
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1225,2,1,67.38,5500
Built-up  Area,Ready To Move,Chandra Layout,1 BHK,,890,1,1,75,8427
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1005,2,1,39.59,3939
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1320,2,1,95,7197
Built-up  Area,Ready To Move,Anandapura,4 BHK,,1475,2,1,50,3390
Super built-up  Area,Ready To Move,Hagadur,2 BHK,SSoraba,1110,2,2,51,4595
Plot  Area,18-Apr,Popular Colony,2 BHK,,1300,2,0,54,4154
Plot  Area,Ready To Move,Vajarahalli,5 BHK,,600,3,1,86,14333
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2,1,65.35,5793
Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452.19,2,1,100,6886
Plot  Area,Ready To Move,8th block Koramangala,3 BHK,,2400,3,2,290,12083
Super built-up  Area,18-Jul,Banashankari,3 BHK,Rallse ,2600,4,1,135,5192
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2500,4,2,325,13000
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,630,1,1,35,5556
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1243,2,2,48.5,3902
Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Goe 3la,960,2,2,32,3333
Super built-up  Area,Ready To Move,"Banashankari 6th Stage ,Subramanyapura",3 BHK,,1690,3,2,100,5917
Built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,735,2,1,35,4762
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1365,2,2,73,5348
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,Pumesim,2849,5,0,300,10530
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2,1,99.39,6999
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1570,3,3,68,4331
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,1,1,32,3765
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2,2,110,6984
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,104,7334
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2,1,42,4000
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GSideS ,1065,2,1,42.6,4000
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,1340,3,0,90,6716
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,,1610,3,2,92,5714
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2,1,33.5,2888
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092,2,2,44,4029
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1455,3,1,61.5,4227
Super built-up  Area,18-Jun,Abbigere,1 BHK,DSestma,734,1,0,19.82,2700
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,799,2,1,38,4756
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1896,3,1,75,3956
Super built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,48,4364
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1350,2,1,79,5852
Super built-up  Area,Ready To Move,Amarjyothi Colony,3 BHK,,1355,3,1,61,4502
Plot  Area,Ready To Move,Pattanagere,2 BHK,,1350,2,0,90,6667
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,3875,3,2,864,22297
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1493,3,2,82,5492
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1098,2,1,43.91,3999
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1900,2,1,170,8947
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Sancya ,1460,3,2,88,6027
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,,2350,4,3,285,12128
Plot  Area,Ready To Move,Horamavu Banaswadi,5 BHK,,1600,5,3,140,8750
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091,2,1,32,2933
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Inurave,1180,2,3,42,3559
Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,PrityFa,1366,3,1,76.85,5626
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1685,3,2,95,5638
Built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260,2,3,100,7937
Plot  Area,Ready To Move,Whitefield,3 BHK,Chpana ,3010,3,2,200,6645
Plot  Area,Ready To Move,Ramamurthy Nagar,3 BHK,,1330,4,1,140,10526
Plot  Area,Ready To Move,Mallasandra,2 BHK,,1200,2,0,130,10833
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1346,2,1,96.17,7145
Super built-up  Area,18-Aug,Chandapura,1 BHK,Dhowsyo,630,1,0,13.86,2200
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,2,140,7568
Plot  Area,Ready To Move,Frazer Town,5 BHK,,2350,2,0,423,18000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,755,1,1,34,4503
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,5 BHK,,800,5,2,98,12250
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2,2,46,3853
Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3850,5,,316,8208
Super built-up  Area,18-Jul,Hebbal,4 BHK,Cehosy ,4235,4,2,365,8619
Plot  Area,18-Apr,Kurubarahalli,1 BHK,,800,1,0,52,6500
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3,1,195,8667
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Rancy R,1352,2,2,68,5030
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2002,3,2,112,5594
Plot  Area,Ready To Move,Bileshivale,4 BHK,FeowsMe,4000,5,1,280,7000
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,KuncyRe,1060,2,2,45,4245
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1419.59,2,1,59,4156
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2,2,51.15,4277
Built-up  Area,18-Dec,Electronic City,3 BHK,,1220,2,2,35.24,2889
Super built-up  Area,18-Apr,Electronics City Phase 1,3 BHK,Shitt S,1595,3,2,75,4702
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1260,2,3,75,5952
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1100,2,2,47,4273
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Asneren,1550,2,2,140,9032
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1180,2,3,52,4407
Plot  Area,18-Dec,Electronic City,4 BHK,Janaala,4000,5,1,150,3750
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3,2,85,5114
Plot  Area,Ready To Move,Akshaya Nagar,4 BHK,,1080,4,1,75,6944
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1862,3,2,119,6391
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2,2,48,3383
Built-up  Area,14-Nov,Whitefield,3 BHK,,1410,3,2,43.71,3100
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,PrrvaPl,1560,2,2,62.4,4000
Plot  Area,Ready To Move,Chikkabettahalli,5 BHK,,1100,4,3,150,13636
Super built-up  Area,19-Nov,Thanisandra,3 BHK,Bhe 2ko,1634,3,3,78,4774
Plot  Area,Ready To Move,Ambedkar Nagar,5 BHK,Thessrm,5530,5,3,627,11338
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1150,2,3,44,3826
Super built-up  Area,18-May,Ashirvad Colony,2 BHK,,1100,2,,53,4818
Super built-up  Area,19-Mar,Yelahanka,3 BHK,,1616,3,1,65,4022
